Name,Damage,Tags,Range,Max Range,Cost,Magazine,Ammo/Power,Attribute,Tech,Enc,Class,Description,Notes,Source
Autopistol,1d8,burst,15,30,75,18,Bullet,Dex,4,1,Projectile,"An Autopistol is a hand-held, fully automatic Auto Weapon that fires solid-slug ballistic rounds at the intended target in rapid succession.",,Official
Pump Action Shotgun,4d4,long_reload,10,30,250,8,Bullet,Dex,4,2,Projectile,"Have to spend 2 full rounds reloading.
Pump-action shotguns have all the strengths of their double-barrelled cousins with the added benefits of increased clip capacity. There are also few things as distinctive as the sound of pump-action shotgun chambering a shell.",,External
Krutch Industries Submachine Gun Mk. 3,1d8,burst,30,100,300,20,Bullet,Dex,4,1,Projectile,"A submachine gun, larger than a machine pistol but smaller than an assault rifle. It has high rate of fire and uses pistol ammunition. This is a ""bullpup"" configuration weapon, with the firing mechanism located behind the trigger. This makes it unusually short, even for a submachine gun. It won't fit in a conventional holster but it can easily be concealed beneath a large coat.","-2 to any Search rolls
+2 to Stealth rolls on an attempt to conceal this weapon.",External
Combat Shotgun,3d4,burst,10,30,300,10,Bullet,Str,4,2,Projectile,These automatic shotguns are designed purely for warfare. Combat shotguns are usually fed from a drum magazine and are even deadlier than the normal shotgun.,,External
Krutch Industries Submachine Gun 43-B,1d8,"ap1, burst",30,100,350,20,Bullet,Dex,4,1,Projectile,"A small, light submachine gun, made almost entirely from advanced plastics It has a shoulder stock but can be fired one-handed. It's an ugly little gun and looks a lot like a plastic box with a trigger guard on the bottom. It uses standard ammunition clips that are loaded to the side of the weapon. It fires small calibre armor piercing bullets.",,External
Basuto Heavy Submachine Gun Mk. 7,2d6,spray_and_pray,30,100,400,20,Bullet,Dex,4,1,Projectile,"This gun defies the general trend toward making submachine guns smaller and faster. It shoots giant 10 mm slugs at a relatively low rate of fire. This would make the weapon difficult to control, but new advances in recoil suppression balance this out. It is advisable to use this weapon with two hands. It also makes a great deal of noise.",,External
Mag Pistol,2d6+2,,100,300,400,6,Flechettes,Dex,4,1,Projectile,"Mag weaponry involves the magnetic acceleration of metal flechettes. Mag ammunition is packaged with integral power supplies, so no additional power cells are necessary to fire these weapons.",,Official
Police Model 90 Assault Carbine,1d12,spray_and_pray,100,300,400,40,Bullet,Dex,4,2,Projectile,"A smaller advanced assault rifle, designed specifically for police tactical units--especially clearing out buildings. It fires 5.5 mm expanding rounds and has a semiautomatic shotgun mounted under the main barrel. (3d4) It can fire only one weapon per attack, but it does not require an action to switch between them. Both the shotgun and the main weapon use standard ammunition.",,External
Void Carbine,2d6,,100,300,400,10,Special,Dex,4,2,Projectile,"Void carbines are specially designed for vacuum and zero-gee use, and have essentially no recoil. They fire gyrojet rounds that cannot penetrate ordinary ship equipment plating.",,Official
Advanced Assault Rifle,2d6,"burst, ap1",100,300,500,30,Bullet,Dex,4,2,Projectile,"The next step up in the evolution of the assault rifles. It fires 7.7 mm armor piercing bullets in 30 rounds magazines and has a 1-shot underslung grenade-launcher slung underneath the main barrel. A counter keeps track of its ammunition. Grenade launcher can be loaded with any standard grenades, but loading it requires 2 rounds.",,External
Krutch Industries Submachine Gun Mk. 4,3d6,spray_and_pray,30,100,500,40,Bullet,Dex,4,1,Projectile,"This weapon skirts the boundary between assault rifles and submachine guns. It's big enough that you can't really conceal it and it does have to be used with two hands. Yet it fires pistol rounds rather than rifle rounds, and that of course is the acid test Although this is a chunky, boxy, ""bullpup"" configuration weapon, it retains a much more ""gunlike"" shape than most assault rifles from the same period. Despite the drum magazine, it takes only a single standard action to reload.",AoE fire mode is the only mode this gun shoots,External
Mag Rifle,2d8+2,,300,600,500,10,Flechettes,Dex,4,2,Projectile,"Mag weaponry involves the magnetic acceleration of metal flechettes. Mag ammunition is packaged with integral power supplies, so no additional power cells are necessary to fire these weapons.",,Official
One-Shot Spike Launcher,1d8+1,long_reload,250,600,560,1,Special,Str/Dex,4,2,Projectile,"Powered by springs, rather than compressed gas or an energy cell, it effectively never runs out of energy, and can be fired as many times as you have spikes to launch from it. This weapon launches spikes that are fairly large and heavy. More accurate than crossbows and various industrial harpoons, it also has more stopping power. It still can't compete with conventional slug-throwing firearms, despite its durability and ease of use. It takes a Standard Action to reload the gun This is a muzzle-loading weapon you shove the spike down its barrel.","If target is hit, they must make a Tech Saving Throw or be pierced by the launcher’s spike. Once pierced target takes 1d6 bleeding damage until they’re healed or dies.",External
.50 Cal. Sniper Rifle,2d8+2,long_reload,1500,3000,600,1,Bullet,Str/Dex,4,2,Projectile,"Intended mostly for use against vehicles, this giant weapon is deadly accurate at long distances. Surprisingly light for its size, it is mostly constructed from carbon fibre and ceramic components, which limits its fire rate. The barrel is long but the rest of the weapon is stubby and wide.",,External
Spike Thrower,3d8,burst,20,40,600,15,Flechettes,Dex,4,2,Projectile,"Spike throwers are the shotgun equivalents of Mag weaponry, which involves the magnetic acceleration of metal flechettes. Mag ammunition is packaged with integral power supplies, so no additional power cells are necessary to fire these weapons.",,Official
Tigershark .75 Pistol,1d8+1,,50,200,800,8,Bullet,Str/Dex,4,1,Projectile,"The ultimate in high-caliber excess. Here's a .75 caliber pistol guaranteed to make Clint Eastwood's descendants green with envy. Huge, scary and tuff-looking, with a snarling shark face on one side, it's full of recoil compensation hardware and actually has ducts on the side of the barrel which let out streams of flame when it's fired.",,External
Hand Cannon,1d8+4,,30,100,850,3,Bullet,Str,4,1,Projectile,"A heavier version of a Revolver, hand cannons are popular with those who have the arm strength to wield them. They fire massive slugs that can turn unfortunates into chunks of meat, but generally have a low rate of fire and small ammo capacity. These deadly weapons kick with a strong recoil and are mostly used by enforcers or bounty hunters who aren't picky on the state of their quarry.",,External
Hunting Rifle,1d12,,100,300,1000,18,Bullet,Dex,4,2,Projectile,The Hunting Rifle is the basic weapon. It works by firing a solid slug propelled by a chemical reaction.,,Official
Kroot Hunting Rifle,1d12+Dex Mod,,150,500,1350,20,Bullet,Dex,4,2,Projectile,"The Kroot Hunting Rifle is an adapted form of the basic Hunting Rifle. This version is customized so it is more adept for hunting, meaning it is quieter and has a longer range.",,External
"RZ-7 ""Southern Cross"" .75 Hunting Rifle",3d6+2,long_reload,1500,5000,2000,1,Bullet,Str/Dex,4,2,Projectile,"The same advanced recoil compensation technology which makes it possible to produce .75 caliber pistols can also be applied to rifles. Only a few small firms make these super-huge guns, as not many customers need to hunt dinosaurs. This one is the most popular and well-known, a product of the venerable company known as Southern Cross Gun-Works. It fires bullets that are one and a half times the size of a .50 caliber round.",,External
Krutch Industries Model Z-4980 LMG,2d8+1,suppress,200,500,4000,20,Bullet,Str,4,3,Projectile,"A ligh machine gun with a little more character and personality. This is a semi replica of the older, pre Scream machine gun. A throwback to an earlier period of Russian design theory, it is big, heavy, simple to maintain and extremely durable. It performs particularly well in inclement weather and in arctic cold. Its one drawback is its limited range.",,External
Autocannon,2d12,"suppress, long_reload",80,180,8000,40,Bullet,Str,4,2,Projectile,"An Autocannon is an automatic, self-loading heavy ballistic weapon that fires a high velocity hail of solid shells, and is used by the military forces.",,Official
Model Q-90 Autogun,3d6,burst,200,600,2000,20,Bullet,Int/Dex,5,2,Projectile,"A long, slim, bullpup type weapon, it fires 10mm slug rounds which are loaded into a drum magazine on the right side of the weapon. What makes it remarkable is its targeting system. A screen molded into the top of the weapon displays the target, cutting through any concealment or darkness, compensating for wind, local gravity, the operator's shaking hands and any other such factors. This effectively grants the user a +3 to his or her attack.",,External
Omnigun,Varies,,Varies,-,-,-,-,Dex,5,3,Projectile,"These weapons are formed of unstable compounds and thin-shell nanite projectors, and can reconfigure themselves in one round to mimic the properties of any non-artifact TL 4 or TL 5 projectile or energy weapon given in the Stars Without Number core rulebook. Omniguns never require power cells or ammunition, and grant a +1 bonus to hit and +2 bonus to damage. Burst firing with an omnigun can destabilize the gun’s format, however; after each round of burst firing, roll 1d10. On a 1, the gun is “jammed” for two rounds.",,Supplementary
Orbital Tap,2d8+2,,50,100,-,-,-,Dex,5,3,Projectile,"This weapon siphons off an imperceptible fraction of the energy inherent in a planet’s orbit. The lance of inertial potential is a tangible projectile, and will knock prone any humansized target it hits. It requires no power source or ammunition to function. The tap only works while within a planetary gravity field of 1 g or greater.",,Supplementary
Jump Gun,2d6+2,burst,100,300,-,12,-,Dex,5,2,Projectile,These weapons were favored by many worlds for use in the vicious house-to-house fighting that characterizes urban combat.,,Supplementary
Heavy Flamer,1d8,long_reload,20,20,2500,3,Special,Str,4,3,Flame,"Heavy Flamers unleash a liquid incendiary chemical, usually promethium, that bursts into flame as it leaves the weapon. They are valued for their ability to destroy many enemies at once, regardless of any protective cover. Flamers are considered assault weapons due to their relatively short range.
Damage can be applied immediately OR user can roll Combat.Energy SkillCheck to set enemy on fire on the difficulty of 7, if successful enemy takes 1d6 damage per round until dead or extinguished.","User can roll Combat.Energy SkillCheck (8) to set enemy on fire, if successful enemy takes 1d6 damage per round until dead or extinguished.",External
Plasma Pistol,1d8,,30,60,4000,6,Type A,Dex,4,1,Plasma,"Uses Type A Power Cells as ammo. 1 cell = 20 shots.
The Plasma Pistol is a smaller version of the plasma weaponry, but just as dangerous.",Melts Away T3 or lower armor,External
Military Grade Plasma Pistol,2d6,,30,100,6000,6,Type A,Dex,5,1,Plasma,"Uses Type A Power Cells as ammo. 1 cell = 20 shots.
Plasma Weapons operate by converting normal gases or fuel materials into an energized state of matter known as plasma. This plasma ball or ""bolt"" is accelerated through a magnetic accelerator, which upon impact with the target detonates with the power of a small sun.",Melts Away T4 or lower armor,External
Military Grade Plasma Rifle,2d6,burst,60,200,8000,12,Type A,Dex,5,2,Plasma,"Uses Type A Power Cells as ammo. 1 cell = 20 shots.
Uses A Power Cells as ammo. 1 cell = 20 shots.
A two handed version of Plasma Pistol meant for rapid fire. Works just the same as the Pistol it self.",Melts Away T4 or lower armor,External
Plasma Cannon,2d12,,100,300,8000,20,Type B,Str,5,3,Plasma,"Uses Type B Power Cells as ammo. 1 cell = 60 shots.
The Plasma Cannon is larger version of the regular plasma weapons. Due to its size and massive power requirements, plasma cannons tend to be found mainly on vehicles or used by Heavy units operating in Power Armor.",Melts Away T4 or lower armor,External
Bolt Pistol,1d12,,30,60,2500,6,Bolt,Str,4,2,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
The Bolt Pistol is a smaller handheld version of the venerable Bolter. Elite Military forces in particular favor the Bolt Pistols. Its the only Bolt weapon that can be wielded without any Power Armor or an Exosuit.",,External
Boltgun,1d12,,90,180,5000,18,Bolt,Str,4,3,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
Requires Power Armor/Exosuit to operate.
The Boltgun, also commonly referred to as the Bolter, is the standard weapon of the Heavy Marine units withing various militaries. A .75 caliber weapon, the Boltgun fires a self-propelled explosive 'bolt' which explodes with devastating effect once it has penetrated its target, effectively blowing it apart from the inside.",,External
Storm Bolter,1d12,burst,90,180,5000,18,Bolt,Str,5,3,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
Requires Power Armor/Exosuit to operate.
The Storm Bolter is a compact, double-barreled version of the Boltgun. Resembling two boltguns attached side by side, the storm bolter is capable of withering fire without hindering maneuverability, granting the wielder enormous individual firepower.",,External
Military Grade Bolt Pistol,1d12+4,,50,100,5500,8,Bolt,Str,5,2,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
Requires Power Armor/Exosuit to operate.
A military grade bolter pistol which is slightly modified to have better stopping power and better amunition capacity. Unavailable for purchase for regular population.",,External
Heavy Bolter,2d12,long_reload,120,300,8000,26,Bolt,Str,5,4,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
Requires Power Armor/Exosuit to operate.
The Heavy Bolter is an enormous version of the Boltgun. Of much larger size and weight, the heavy bolter fires powerful armor-piercing fist-sized bolts at the enemy with a staggering rate of fire.",,External
Military Grade Bolter,1d12+6,burst,120,300,8500,22,Bolt,Str,5,3,Bolt,"Uses Bolt rounds instead of regular ammo.
1 Magazine = 20 rounds.
Requires Power Armor/Exosuit to operate.
A military grade bolter which is slightly modified to have better stopping power and unavailable for purchase for regular population.",,External
Telekinetic Sling,1d10,,100,300,3500,-,Psi,Wis/Con,5,1,Psitech,"Telekinetic slings are forearm-mounted psitech arrays that amplify the natural abilities of a Telekinetic with at least 2 points in the discipline. Any solid object smaller than an apple can be launched by the sling, and the projectiles can turn corners, fly around obstacles, and otherwise defy inertia. Telekinetic slings ignore cover and grant +3 to hit, though completely obscured targets will be missed half the time even on a successful hit roll. A character can load and fire the weapon all in one round.",,Official
Metastasis Projector,2d6,,25,50,8000,-,Psi,Wis/Con,5,1,Psitech,"Metastasis Projectors are an outgrowth of an unsuccessful attempt at the creation of a biopsionic tool for easy field treatment of injuries. The project was a failure, but the potential of the tool as a weapon was quickly recognized. The projector itself is a gauntletlike device that emits an almost invisible beam of biopsionic force, and requires at least 2 levels of the Biopsionic discipline to activate. A target hit by a projector suffers the sudden eruption of cancerous
tumors; multiple hits can cause immediate death, while even the slightest graze ensures that the target will experience a fatal metastatic onset within a few months or years. Only biopsionic healing or Tech Level 4 medical attention can cure damage inflicted by a projector or cure the creeping progress of a target’s cancers. Each hit from a metastasis projector adds 1 System Stress to the target, and the weapon has no effect on targets who already have a maximized System Stress. Unsurprisingly, metastasis projectors are outlawed on almost all worlds that are aware of their existence.",,Official
Mind Blade,Special,,-,-,8000,-,Psi,Wis/Con,5,1,Psitech,"Mind blades usually take the form of intricately-fashioned gloves or stylized hilts, all fabricated with advanced psitech circuitry. Use of a mind blade requires at least 2 levels of the Telepathy discipline. In the hands of a trained psychic, the glove or hilt extends a translucent, meter-long “blade” of telepathic static. This blade has no tangible substance, but if brought into contact with a living creature, it does 1d4 points of damage, plus 1 point of damage per level of the wielder’s Telepathy discipline. Damage done takes the form of shock, disorientation, and ultimately unconsciousness; a mind blade will not kill a subject brought below 0 hit points by it. The static field created by mind blades suffers only minimal disruption by armor, and all attacks made with it are +3 to hit. Mind blades have no effect on robots or inanimate objects.",,Official
Neural Resonance Cascade,2d6+2,,100,200,8400,6,Psi,Wis/Con,5,1,Psitech,"This device mimics some of the destructive powers of an advanced telepath, allowing a wearer to blast a sentient target with waves of invisible neural resonance. The wearer does not need to be a telepath to use the cascade, but a mind-blind user must save versus Tech after each use or suffer 1d6 damage from the feedback. The cascade gets six shots out of one type A power cell.",,Supplementary
Smoke Grenade,-,,10,30,80,-,-,Dex,2,0.2,Grenade,"Rather than inflicting Damage, these weapons throw up dense clouds of smoke to create cover. When used, it creates a smoke screen 3d10 meters in diameter from the point of impact. The screen lasts for 2d10 rounds.",,External
Krak Grenade,1d8,,10,30,140,-,-,Dex,3,0.2,Grenade,"These grenades can be thrown like normal grenades OR stuck to a surface and detonated after 2 rounds.
Krak grenades have powerful concentrated explosives designed to punch holes in armored targets such as vehicles, bunkers or walls in general. While stronger than a standard Grenade, Krak detonations do not produce a Blast effect thus making them impractical for use against people/infantry.",,External
Frag Grenade,2d8,,10,30,180,-,-,Dex,3,0.2,Grenade,"Grenades are thrown explosive weaponry. Grenade users always roll to attack AC 9. On a miss, the grenade lands 1d10 meters away from the target in a random direction. Hit or miss, the grenade then explodes for 2d6 damage to all targets within 5 meters. Victims are allowed a Luck save for half damage. Targets take 1 less point of damage for each point of AC below 6.",,Official
Incendiary Grenade,2d6,burst,10,30,200,-,-,Dex,4,0.2,Grenade,"A grenade packed with a quick-burning thermite compound. It usually completely burns itself out in a round, but may set other fires in the blast radius.",Everyone in the blast radius has to make a Physical/Luck Save if failed they take 1d6 damage per round until dead or extinguished.,External
Improvised Fragmentation Grenade,2d6 / Special,,10,30,-,-,-,Dex,3,0.2,Grenade,"One step above a Molotov cocktail, this improvised grenade can be made from various scrap and a Tech/Postech. Packed full of nails, gravel and other fragments, it will make a very satisfying explosion on impact. Unfortunately, it is also prone to going off in your hand.","Every time it's thrown, the user has to make a Luck Save to see if it explodes mid-throw, doing its full amount of damage to everything in a 5 meter radius, whether or not you happen to be holding it at the time.",External
Heavy Concussion Grenade,1d6,,10,30,120,-,-,Dex,4,0.2,Grenade,"An explosive grenade, designed to do as little collateral damage as possible. It affects everything in a five-meter radius. It's probably not a good idea to use this one to solve hostage situations.",Anyone caught in blast radius must make a Physical Saving Throw or be Deafened for 2d6 rounds.,External
Discombobulator Grenade,2d8 / Special,,10,30,250,-,-,Dex,4,0.2,Grenade,"A grenade packed with coils of ultrasharp monofilament wire. No more than a single molecule thick, it does grievous damage to flesh and bone when it's flung at high speed.","Although this is an area effect weapon, every potential target in the blast radius rolls 1d20. These rolls have no effect unless a critical hit is rolled. On a critical hit, this weapon has cut the target into sections, killing them instantly.",External
Hotfoot Mine,2d6,,-,-,450,N/A,-,N/A,4,1,Mine,"These brutal thermal weapons appear as innocuous discs slightly larger than an outspread hand.
They are intended as antipersonnel measures, with the goal being the injury and crippling of enemy forces rather than their outright death, as corpses make substantially fewer logistical demands on their comrades. ",,External
Metafocal Grenade,2d6,,10,30,200,-,-,Wis/Con,5,0.2,Psitech,"Metafocal Grenades rely on at least 2 levels of the Precognition discipline to function correctly. If thrown by a trained psychic, the explosions they cause never seem to cause injury to any creature or object the psychic wishes to spare. Metafocal grenades are thrown and inflict damage in the same way as normal grenades, albeit they use Combat/Psitech as the relevant skill.",,Official
Psi-Scream Grenade,2d10 / Nonlethal,nonlethal,10,30,200,-,-,Wis/Con,5,0.2,Psitech,"The product of some strange psionic technology, this grenade looks like a weird, half melted crystal with a strip of pulsing brain-matter at its core. There are no buttons or switches or pins. It senses when a psychic wants to arm it. Despite its strange shape and odd feel it still manages to be perfectly balanced for throwing. It's even the right weight. Once it hits the target, it gives off a terrible psychic shriek, doing nonlethal damage to anyone in the vicinity.",,External
Flechette Grenade,3d6,,10,30,210,-,-,Dex,5,0.2,Grenade,"A deadlier variation on the fragmentation grenade, this one is packed with needlesharp darts, carefully arranged to go off in a particular spread. This is a far more labor-intensive item to produce than an ordinary fragmentation grenade, and only societies with very extensive automated manufacturing ever mass-produce them.",,External
Debilitation Gas Grenade,Special,nonlethal,10,30,280,-,-,Dex,5,0.2,Grenade,"A mild neurotoxic agent that drastically weakens anyone who inhales it. They must actually get it in their lungs to be fully affected. The agent can make you feel woozy and strange if it gets on your skin, but not enough to have any game effects. A gas mask or even a good filter mask of the kind used in home construction projects will totally negate the effect. A wet handkerchief over your face probably won't do the job, but it might give you some kind of bonus to your Saving Throw. The effectiveness of such improvised filtering techniques is strictly up to the GM.","Everyone in a ten-meter radius must make a Physical Save Throw or lose 3d6 Strength, for 2d10 minutes. The target's Strength can go no lower than 1. Any character whose Strength has been reduced to 1 is completely helpless, unable to stand or effectively defend themselves.

Can be purchased on TL4 planets for double the price.",External
Bloodrot Grenade,Special,,10,30,350,-,-,Dex,5,0.2,Grenade,"Dangerous and illegal biological weapon. The virus it carries acts quickly and has gruesome symptoms. The prison sentence for using it is usually longer, too.","Infects everyone in a five-meter radius with an infectious disease. The victim must make a Physical Saving Throw or lose a point of Constitution per hour until they are cured or reach 0 Constitution and die.

Can be purchased on TL4 planets for double the price.",External
Plasma Grenade,2d12 / Special,,10,30,400,-,-,Dex,5,0.2,Grenade,"A very advanced, very destructive weapon, it unleashes an omnidirectional burst of high energy plasma. It's a little like having a small piece of a star burst out of the grenade and engulf the target.","Plasma Grenade can be exploded in 3 meter radius, a 6 meter semicircle or a 10 meter cone.
If it misses the target and is using the semicircle or cone-shaped attack, roll a 1d10 to determine which way the grenade is facing when it goes off.

Can be purchased on TL4 planets for double the price.",External
Hate Bomb,Special,nonlethal,10,30,N/A,-,-,Dex,5,1,Grenade,"These small cylinders are loaded with extremely powerful neurochemicals.
They can be thrown as a grenade, with an AC9 hit roll to land on target and a 1d10 meter scatter on a miss. ","Everyone in the AoE must make Tech Saving throws.
Victims affected by a hate bomb are seized by a sudden, blinding fury directed at all living creatures around them.
They will immediately attack the closest available target, friend or foe. ",Supplementary
Hydra Grenade,1d8 per Round,,10,30,N/A,-,-,Dex,5,0.2,Grenade,"A warm, slightly yielding sphere the size of a softball, a hydra grenade has an organic pull-tab protruding from its top.
When pulled, the grenade becomes live and will burst three seconds later.",,Supplementary
Sinkhole Charge,N/A,nonlethal,10,30,N/A,-,-,Dex,5,1,Grenade,"These pretech grenades do not inflict damage, but instead turn their affected area into a zone of kinetic negation, making it impossible for objects, projectiles or persons to cross the grenade’s area of effect.",,Supplementary
Temporal Explosives,3d12,,10,30,N/A,-,-,N/A,5,1,Grenade,"A bizarre piece of pretech science, it’s unclear what purpose these fist-sized explosive charges were originally intended to serve- and indeed, they may not have been intended as explosives at all.
Whatever their original purpose, scavengers now use them to launch delayed explosive attacks.",,Supplementary
